,Resource rev% gdp,ODA % GDP
Azerbaijan,37%,0%
Burkina Faso,1%,12%
Cameroon,16%,2%
Central African Republic,1%,13%
Chad,13%,5%
C“te d'Ivoire,,
Democratic Republic of Congo,4%,16%
Ghana,1%,5%
Guatemala,0%,1%
Guinea,5%,5%
Indonesia,6%,0%
Kazakhstan,14%,0%
Kyrgyz Republic,3%,8%
,,
Madagascar,2%,5%
Mauritania,8%,11%
Mongolia,15%,5%
Mozambique,1%,19%
Niger,2%,13%
Nigeria,12%,1%
Norway,10%,0%
Peru,3%,0%
Republic of the Congo,27%,11%
Sierra Leone,0%,18%
Tanzania,1%,13%
Togo,2%,13%
Yemen,,
Zambia,4%,5%
