Report ID,Year,Country,Lookup,Region,Sector,Mining,Gas,Oil,Commodity,Total extractive government receipts (US$),"Total Government Revenue, IMF data.","Total Government Revenue, excluding grants, WB data.",Total GDP (US$ nominal),Total Production Value (US$),Health expenditure (US$),Public spending on education (% of GDP) ,ODA (US$)
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,Mining,yes,no,no,Salt (rock),101776402,3385680340,2042530053,17870159082,7099126.188,..,..,6884700000
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,Mining,yes,no,no,Talc,101776402,3385680340,2042530053,17870159082,31086575.34,..,..,6884700000
Albania2009,2009,Albania,2009_Albania,Europe and Central Asia,"Oil, Mining",yes,no,yes,"Total Oil, Mining",33298711.2,2941677383,..,12044208086,228971998.3,..,..,356960000
Albania2009,2009,Albania,2009_Albania,Europe and Central Asia,Oil,no,no,yes,Oil,33298711.2,2941677383,..,12044208086,140680173.3,..,..,356960000
Albania2009,2009,Albania,2009_Albania,Europe and Central Asia,Mining,yes,no,no,Total Mining,33298711.2,2941677383,..,12044208086,88291824.95,..,..,356960000
Albania2009,2009,Albania,2009_Albania,Europe and Central Asia,Mining,yes,no,no,Chromite,33298711.2,2941677383,..,12044208086,64367666,..,..,356960000
Albania2009,2009,Albania,2009_Albania,Europe and Central Asia,Mining,yes,no,no,Copper,33298711.2,2941677383,..,12044208086,9269529.45,..,..,356960000
Albania2009,2009,Albania,2009_Albania,Europe and Central Asia,Mining,yes,no,no,o/w Copper ore,33298711.2,2941677383,..,12044208086,,..,..,356960000
Albania2009,2009,Albania,2009_Albania,Europe and Central Asia,Mining,yes,no,no,o/w Copper content of ore,33298711.2,2941677383,..,12044208086,,..,..,356960000
Albania2009,2009,Albania,2009_Albania,Europe and Central Asia,Mining,yes,no,no,Nickel,33298711.2,2941677383,..,12044208086,14654629.5,..,..,356960000
Albania2009,2009,Albania,2009_Albania,Europe and Central Asia,Mining,yes,no,no,o/w Iron-nickel and nickel-silicate ore,33298711.2,2941677383,..,12044208086,,..,..,356960000
Albania2009,2009,Albania,2009_Albania,Europe and Central Asia,Mining,yes,no,no,o/w Nickel content of ores,33298711.2,2941677383,..,12044208086,,..,..,356960000
Albania2010,2010,Albania,2010_Albania,Europe and Central Asia,"Oil, Mining",yes,no,yes,"Total Oil, Mining",62819643,2968738930,..,11926957255,493928693.2,..,..,340700000
Albania2010,2010,Albania,2010_Albania,Europe and Central Asia,Oil,no,no,yes,Oil,62819643,2968738930,..,11926957255,284484785.2,..,..,340700000
Albania2010,2010,Albania,2010_Albania,Europe and Central Asia,Mining,yes,no,no,Total Mining,62819643,2968738930,..,11926957255,209443908,..,..,340700000
Albania2010,2010,Albania,2010_Albania,Europe and Central Asia,Mining,yes,no,no,Chromite,62819643,2968738930,..,11926957255,69604264,..,..,340700000
Albania2010,2010,Albania,2010_Albania,Europe and Central Asia,Mining,yes,no,no,Copper,62819643,2968738930,..,11926957255,16576515.08,..,..,340700000
Albania2010,2010,Albania,2010_Albania,Europe and Central Asia,Mining,yes,no,no,o/w Copper ore,62819643,2968738930,..,11926957255,,..,..,340700000
Albania2010,2010,Albania,2010_Albania,Europe and Central Asia,Mining,yes,no,no,o/w Copper content,62819643,2968738930,..,11926957255,,..,..,340700000
Albania2010,2010,Albania,2010_Albania,Europe and Central Asia,Mining,yes,no,no,Limestone,62819643,2968738930,..,11926957255,57836571.63,..,..,340700000
