year,country,region,eiti_summary_revenues,revenues_rcvd,revenues_payed,exports,health
2010,Guatemala,Latin America and Caribbean,155800631.00,155800631.00,157157449.00,1158727773.00,10803023919.00
2011,Guatemala,Latin America and Caribbean,224641623.00,224641623.00,224641623.00,1390587326.00,12757323906.00
2005,Guinea,Africa,138153403.00,138153403.00,139444841.00,54308223.69,
2006,Guinea,Africa,129435000.00,129435000.00,122473523.00,,
2007,Guinea,Africa,171775146.00,171775146.00,173554250.00,,
2008,Guinea,Africa,211216759.00,211216759.00,212638920.00,110112513.40,
2009,Guinea,Africa,204355820.00,204355820.00,216639914.00,148258834.80,
2010,Guinea,Africa,218560221.00,218560221.00,220836821.00,174844882.70,
2011,Guinea,Africa,975948622.00,975948622.00,982235037.00,155204623.50,
2012,Guinea,Africa,371466406.00,371466406.00,379858335.00,139660427.90,
2009,Indonesia,East Asia and Pacific,24925055610.00,24925055610.00,24682330430.00,19020894895.00,133156000000.00
2010,Indonesia,East Asia and Pacific,32949795856.00,32949795856.00,32920365915.00,19020894895.00,133156000000.00
2011,Indonesia,East Asia and Pacific,44779611925.00,44779611925.00,44689847698.00,19020894895.00,133156000000.00
2009,Iraq,Middle East and North Africa,41249682457.00,41249682457.00,40159269633.00,,41622700000.00
2010,Iraq,Middle East and North Africa,53852645106.00,53852645106.00,54037731813.00,,54593900000.00
2011,Iraq,Middle East and North Africa,82986002828.00,82986002828.00,81810684105.00,,82506000000.00
2012,Iraq,Middle East and North Africa,94032633453.00,94032633453.00,93136980753.00,,97040000000.00
2005,Kazakhstan,Europe and Central Asia,2622996991.00,2622996991.00,2610384907.00,1293011447.00,30529040000.00
2006,Kazakhstan,Europe and Central Asia,10237431640.00,10237431640.00,10113048830.00,2127793323.00,41580850000.00
2007,Kazakhstan,Europe and Central Asia,12635329400.00,12635329400.00,12635329400.00,2968709211.00,51915430000.00
2008,Kazakhstan,Europe and Central Asia,21000131830.00,21000131830.00,21000131830.00,3455417172.00,76396390000.00
2009,Kazakhstan,Europe and Central Asia,12722411270.00,12722411270.00,12971087110.00,3529275253.00,48027080000.00
2010,Kazakhstan,Europe and Central Asia,20754211560.00,20754211560.00,20787323350.00,,65510660000.00
2011,Kazakhstan,Europe and Central Asia,28779202170.00,28779202170.00,28858076750.00,,89531640000.00
2012,Kazakhstan,Europe and Central Asia,30672394366.00,30672394366.00,30665150905.00,,91759340000.00
2013,Kazakhstan,Europe and Central Asia,30773721236.00,30773721236.00,31961400394.00,,88675823000.00
2004,Kyrgyz Republic,Europe and Central Asia,30473246.00,30473246.00,120576226.00,102226671.70,
2005,Kyrgyz Republic,Europe and Central Asia,29106335.00,29106335.00,38337987.00,119890427.80,
2006,Kyrgyz Republic,Europe and Central Asia,26120301.00,26120301.00,33994038.00,157292405.50,
2007,Kyrgyz Republic,Europe and Central Asia,28210188.00,28210188.00,37580429.00,245911954.30,
2008,Kyrgyz Republic,Europe and Central Asia,72855334.00,72855334.00,74794639.00,303935469.70,
2009,Kyrgyz Republic,Europe and Central Asia,96148291.00,96148291.00,99435121.00,292316572.20,
2010,Kyrgyz Republic,Europe and Central Asia,143976791.00,143976791.00,142159547.00,278975529.70,
2011,Kyrgyz Republic,Europe and Central Asia,246173059.00,246173059.00,246031215.00,420866745.60,
2012,Kyrgyz Republic,Europe and Central Asia,217306922.00,217306922.00,217274931.00,,
2008,Liberia,Africa,29450879.00,29450879.00,29455183.00,27722114.47,758570000.00
2009,Liberia,Africa,35425230.00,35425230.00,35280235.00,,454073000.00
2010,Liberia,Africa,71896113.00,71896113.00,69720697.00,,399203000.00
2011,Liberia,Africa,102802567.00,102802567.00,115407282.00,,1249737000.00
2012,Liberia,Africa,110146657.00,110146657.00,100809819.00,48905924.43,1288543802.00
2007,Madagascar,Africa,48300000.00,48300000.00,48100000.00,247447714.50,2269602431.00
2008,Madagascar,Africa,55300000.00,55300000.00,54900000.00,274501044.50,2536196926.00
2009,Madagascar,Africa,20900000.00,20900000.00,21000000.00,270448863.00,1944423914.00
2010,Madagascar,Africa,160705175.00,160705175.00,151591514.00,,2110141010.00
2011,Madagascar,Africa,87349503.00,87349503.00,83461011.00,274597675.00,2692550791.00
2006,Mali,Africa,221333359.00,221333359.00,230105758.00,,1863711000.00
2007,Mali,Africa,283774774.00,283774774.00,287602068.00,,1932923000.00
2008,Mali,Africa,281237313.00,281237313.00,290993478.00,333506167.30,2551480000.00
2009,Mali,Africa,380403587.00,380403587.00,370973011.00,394291024.10,2127927000.00
2010,Mali,Africa,346547621.00,346547621.00,351835136.00,405775592.90,2436315000.00
2011,Mali,Africa,425193487.00,425193487.00,423052153.00,510642448.50,2800659000.00
2012,Mali,Africa,481528351.00,481528351.00,443716630.00,,3343261663.00
2005,Mauritania,Africa,29636377.00,29636377.00,28035805.00,,704709728.10
2006,Mauritania,Africa,280165030.00,280165030.00,273414760.00,68142732.82,1453302308.00
2007,Mauritania,Africa,175753291.00,175753291.00,182576279.00,,1486000000.00
2008,Mauritania,Africa,231365652.00,231365652.00,234899504.00,135449549.70,1925600000.00
2009,Mauritania,Africa,191165715.00,191165715.00,195416883.00,,1528800000.00
2010,Mauritania,Africa,270018613.00,270018613.00,237278712.00,150195416.60,2201620299.00
2011,Mauritania,Africa,448018317.00,448018317.00,429224821.00,152623554.30,2891344007.00
2012,Mauritania,Africa,472169396.00,472169396.00,468640335.00,,2801865157.00
2006,Mongolia,East Asia and Pacific,411987302.00,411987302.00,434116184.00,,2030950000.00
2007,Mongolia,East Asia and Pacific,640532901.00,640532901.00,660586246.00,198622041.80,2532547000.00
2008,Mongolia,East Asia and Pacific,587942636.00,587942636.00,588887191.00,,3028517000.00
2009,Mongolia,East Asia and Pacific,512525992.00,512525992.00,512566409.00,235831405.50,2299920000.00
2010,Mongolia,East Asia and Pacific,943183886.00,943183886.00,943184626.00,333949991.70,3394506000.00
2011,Mongolia,East Asia and Pacific,1716796513.00,0.00,0.00,479790602.50,5439157000.00
2012,Mongolia,East Asia and Pacific,1180619495.00,1180619495.00,2233069669.00,,5345578000.00
2013,Mongolia,East Asia and Pacific,1054895582.00,1054895582.00,1054920348.00,,4980067234.00
2008,Mozambique,Africa,25571803.00,25571803.00,8484826.00,,3208225000.00
2009,Mozambique,Africa,51049678.00,51049678.00,42568813.00,,2758850000.00
2010,Mozambique,Africa,71555872.00,71555872.00,56324645.00,,2944331000.00
2011,Mozambique,Africa,115116240.00,115116240.00,114608833.00,,3847357000.00
2005,Niger,Africa,14928854.00,14928854.00,15079465.00,,565092000.00
2006,Niger,Africa,25063834.00,25063834.00,25374332.00,121584099.30,598517000.00
2007,Niger,Africa,147175594.00,147175594.00,147175594.00,172554440.80,747919000.00
2008,Niger,Africa,418740296.00,418740296.00,418740296.00,197921457.60,1043132000.00
2009,Niger,Africa,143129703.00,143129703.00,143129703.00,244275359.10,1096776000.00
2010,Niger,Africa,109503726.00,109503726.00,107544027.00,213497250.40,1270168000.00
2011,Niger,Africa,119279040.00,119279040.00,117840829.00,269532504.30,1344090485.00
2012,Niger,Africa,344759167.00,344759167.00,340897169.00,293257270.60,
1999,Nigeria,Africa,8073000000.00,8073000000.00,8084000000.00,,13855918000.00
2000,Nigeria,Africa,15807000000.00,15807000000.00,15807000000.00,,20964900000.00
2001,Nigeria,Africa,15909000000.00,15909000000.00,15909000000.00,,19645090000.00
2002,Nigeria,Africa,11875000000.00,11875000000.00,11875000000.00,,18137130000.00
2003,Nigeria,Africa,17091000000.00,17091000000.00,17095000000.00,,27449180000.00
2004,Nigeria,Africa,26596000000.00,26596000000.00,26597000000.00,,38102150000.00
2005,Nigeria,Africa,37761759991.00,37761759991.00,37589633076.00,,56994190000.00
2006,Nigeria,Africa,45464400000.00,45464400000.00,44748184080.00,,59233560000.00
2007,Nigeria,Africa,43678500000.00,43678500000.00,43562165330.00,,67482490000.00
2008,Nigeria,Africa,59398200000.00,59398200000.00,59266324980.00,,87993050000.00
2009,Nigeria,Africa,30129486000.00,30129486000.00,30087646000.00,,58385274000.00
2010,Nigeria,Africa,44944995000.00,44944995000.00,44965362000.00,,80975024000.00
2011,Nigeria,Africa,68613385930.00,68613385930.00,68690659359.00,,99755753000.00
2012,Nigeria,Africa,177501339.00,177501339.00,164593480.00,,98087457000.00
2008,Norway,Europe and Central Asia,71008812.00,71008812000.00,71008812000.00,29053435301.00,216595000000.00
2009,Norway,Europe and Central Asia,42349871975.00,42349871975.00,42349871975.00,27432394196.00,159900000000.00
2010,Norway,Europe and Central Asia,44013892000.00,44013892000.00,44013892000.00,28925410418.00,172106000000.00
2011,Norway,Europe and Central Asia,60421715740.00,60421715740.00,60421715740.00,,203747000000.00
2012,Norway,Europe and Central Asia,65229640210.00,65229640210.00,65229640210.00,,203375000000.00
2004,Peru,Latin America and Caribbean,884263514.00,884263514.00,883327966.00,1891110203.00,14802480000.00
2005,Peru,Latin America and Caribbean,1756747244.00,1756747244.00,1755425838.00,2039555519.00,19656900000.00
2006,Peru,Latin America and Caribbean,2926435260.00,2926435260.00,2926253812.00,2241549819.00,26490180000.00
2007,Peru,Latin America and Caribbean,3125388073.00,3125388073.00,3126093880.00,2553560909.00,31246090000.00
2008,Peru,Latin America and Caribbean,3573697358.00,3573697358.00,3573963810.00,3251054184.00,34667290000.00
2009,Peru,Latin America and Caribbean,2965369766.00,2965369766.00,2965945527.00,3535221194.00,30597077000.00
2010,Peru,Latin America and Caribbean,4358147652.00,4358147652.00,4358224746.00,3993421932.00,39257548000.00
2011,Peru,Latin America and Caribbean,5884323617.00,5884323617.00,5881394469.00,4317271102.00,50632851000.00
2012,Peru,Latin America and Caribbean,5480907241.00,5480907241.00,5478998767.00,5317432530.00,51063297000.00
2004,Republic of the Congo,Africa,802597373.00,802597373.00,0.00,106366671.10,3629864000.00
2005,Republic of the Congo,Africa,1738493618.00,1738493618.00,0.00,111743369.10,4965797000.00
2006,Republic of the Congo,Africa,2581804427.00,2581804427.00,0.00,,6331731000.00
2007,Republic of the Congo,Africa,2553350326.00,2553350326.00,2443821663.00,,6127486000.00
2008,Republic of the Congo,Africa,4645910136.00,4645910136.00,4608048677.00,,8696195889.00
2009,Republic of the Congo,Africa,2343960553.00,2343960553.00,2293891128.00,,6450847759.00
2010,Republic of the Congo,Africa,3195780380.00,3195780380.00,3419011269.00,746985002.40,9757166192.00
2011,Republic of the Congo,Africa,5529544307.00,5529544307.00,5551437091.00,,12052998097.00
2012,Republic of the Congo,Africa,3185676000.00,3185676000.00,3210830000.00,,11042902726.00
2013,Republic of the Congo,Africa,3041615000.00,3041615000.00,3044743000.00,,
2006,Sierra Leone,Africa,7255695.00,7255695.00,7650040.00,,304390000.00
2007,Sierra Leone,Africa,10201529.00,10201529.00,10475496.00,55243389.65,334189000.00
2008,Sierra Leone,Africa,4427564.00,4427564.00,7476297.00,60490938.66,334931000.00
2009,Sierra Leone,Africa,5875778.00,5875778.00,6091293.00,68157380.22,373932000.00
2010,Sierra Leone,Africa,7586793.00,7586793.00,8273471.00,66805784.48,422910000.00
2011,Sierra Leone,Africa,27621406.00,27621406.00,26293141.00,78176990.41,545726000.00
2009,Tanzania,Africa,102252340.00,102252340.00,138928383.00,1142404105.00,5152730000.00
2010,Tanzania,Africa,305762430.00,305762430.00,309407926.00,1416422264.00,6370027000.00
2011,Tanzania,Africa,329804745.00,329804745.00,337100430.00,,7398236000.00
2012,Tanzania,Africa,468277748.00,468277748.00,469605653.00,,8544395000.00
2008,Timor-Leste,East Asia and Pacific,2509572538.00,2509572538.00,2509572538.00,56244189.00,58144000.00
2009,Timor-Leste,East Asia and Pacific,1763889996.00,1763889996.00,1763889996.00,92805944.60,66192000.00
2010,Timor-Leste,East Asia and Pacific,2149721568.00,2149721568.00,2149721568.00,97918505.20,103420000.00
2011,Timor-Leste,East Asia and Pacific,3453285817.00,3453285817.00,3453285817.00,105771776.40,104522000.00
2010,Togo,Africa,60128720.00,60128720.00,65899110.00,140345725.60,1296380000.00
2011,Togo,Africa,31315793.00,31315793.00,31297366.00,169833464.90,2191499853.00
2012,Togo,Africa,31681602.00,31681602.00,35222627.00,,
2011,Trinidad & Tobago,Latin America and Caribbean,3593984496.00,3593984496.00,3605333333.00,,20756130000.00
2005,Yemen,Middle East and North Africa,4668154975.00,4668154975.00,4668248606.00,,6785262000.00
2006,Yemen,Middle East and North Africa,5122351269.00,5122351269.00,5121921597.00,,
2007,Yemen,Middle East and North Africa,5331162225.00,5331162225.00,5331078375.00,,7773282000.00
2008,Yemen,Middle East and North Africa,7591231594.00,7591231594.00,214794365.00,,10182250000.00
2009,Yemen,Middle East and North Africa,3625997931.00,3625997931.00,114590378.00,,7092200000.00
2010,Yemen,Middle East and North Africa,5081696110.00,5081696110.00,245902656.00,,9261470000.00
2011,Yemen,Middle East and North Africa,5539756725.00,5539756725.00,372118093.00,,9910020000.00
2008,Zambia,Africa,470370875.00,470370875.00,473725116.00,240968056.70,5261210000.00
2009,Zambia,Africa,533783358.00,533783358.00,574901639.00,,4559940000.00
2010,Zambia,Africa,757063737.00,757063737.00,758825945.00,,7724500000.00
2011,Zambia,Africa,1588841770.00,1588841770.00,1600810082.00,,9034981000.00
2012,Zambia,Africa,1537626771.00,1537626771.04,1519219439.75,,9880941000.00
2013,Zambia,Africa,1498550078.00,1498550077.77,1428239205.00,,
