country,resource,oda
Azerbaijan,0.372999646277575000,0.003007596773813730
Burkina Faso,0.005122047875776010,0.115355275653110000
Cameroon,0.155624913173219000,0.022880744629348200
Central African Republic,0.010389436888341100,0.131423998130519000
Chad,0.126457242986047000,0.045604564650956300
Democratic Republic of Congo,0.040624297738079200,0.161681174263532000
Ghana,0.006603311217600940,0.052604457865473600
Guatemala,0.003768948385201130,0.009519579985169310
Guinea,0.046149119457308800,0.045967483255147800
Indonesia,0.061065640973199200,0.001939527198498410
Kazakhstan,0.140186310708282000,0.001512556642595270
Kyrgyz Republic,0.030030464382113600,0.079337007427985700
Madagascar,0.018408516731265700,0.053846900216743800
Mauritania,0.076558725258937900,0.106154114412419000
Mongolia,0.152117672471811000,0.048829445881315100
Mozambique,0.007039191671508040,0.191978565477120000
Niger,0.019148729784382200,0.130192942415095000
Nigeria,0.121781559466632000,0.005587022634173520
Norway,0.104559546406180000,0.000000000000000000
Peru,0.029343288238119200,-0.001723102318936750
Republic of the Congo,0.266140264733124000,0.109219944955667000
Sierra Leone,0.002942716530229460,0.181078789269677000
Tanzania,0.013343328337914400,0.129093580953495000
Togo,0.018950442207720600,0.127339092080374000
Zambia,0.037357460216252800,0.045119768955378000
