,Country,ISO,variable,value.GGExp,value.GGRev,value.GGExpCh,value.GGRevCh
265,United Arab Emirates,ARE,X2001,95.72,122.462,0.16155181,-0.234770329
266,Uzbekistan,UZB,X2001,1755.396,1687.944,0.379305034,0.416692685
267,Venezuela,VEN,X2001,28.373,24.287,0.258951946,-0.068785706
268,Vietnam,VNM,X2001,117285,103888,0.175777686,0.144783965
269,Yemen,YEM,X2001,506.761,553.084,0.026193437,-0.06048185
270,Zambia,ZMB,X2001,4.134,3.263,0.723936614,0.290743671
433,Algeria,DZA,X2002,1550.646,1603.284,0.173817663,0.083956233
434,Angola,AGO,X2002,207.753,190.836,1.513313413,1.112887511
435,Azerbaijan,AZE,X2002,1.678,1.655,0.691532258,0.668346774
436,Bahrain,BHR,X2002,1.15,1.027,0.20292887,0.045824847
437,Bolivia,BOL,X2002,18.871,13.89,0.097853278,0.027366864
438,Botswana,BWA,X2002,15.71,14.321,0.149147831,0.126839248
439,Brunei Darussalam,BRN,X2002,4.803,4.268,0.217490494,0.008506616
440,Cameroon,CMR,X2002,1191.663,1323.875,0.001510254,0.067210802
441,Chad,TCD,X2002,280.3,197.34,0.271201814,0.269230769
442,Chile,CHL,X2002,11264.236,10697.283,0.068108203,0.036421345
443,Colombia,COL,X2002,68437.998,60012.487,0.100398123,0.078495319
444,"Congo, Republic of",COG,X2002,582.535,575.414,0.161298104,-0.089285516
445,Dem. Rep. of Congo,COD,X2002,157.3,153.2,,1.265879708
446,Ecuador,ECU,X2002,6.114,6.33,0.245213849,0.218713901
447,Equatorial Guinea,GNQ,X2002,161.699,414.482,-0.021305056,0.19104023
448,Gabon,GAB,X2002,952.054,1089.899,-0.070247962,-0.071343609
449,Ghana,GHA,X2002,1.286,0.957,0.04637917,0.004197272
450,Guinea,GIN,X2002,1157.351,876.914,0.039073288,0.010025224
451,Guyana,GUY,X2002,68.532,61.358,0.012813123,0.072317372
452,Indonesia,IDN,X2002,335485.778,324027.804,-0.039600515,0.019768951
453,Iran,IRN,X2002,206265.07,211195.76,0.640387433,0.583276403
454,Iraq,IRQ,X2002,,,,
455,Kazakhstan,KAZ,X2002,775.163,847.815,,0.016686653
456,Kuwait,KWT,X2002,4.852,7.093,0.056160209,-0.074141757
457,Libya,LBY,X2002,10.973,12.85,0.393043037,0.62843746
458,Malaysia,MYS,X2002,113.29,96.763,0.045313206,0.055984198
459,Mali,MLI,X2002,540.579,456.692,0.160182683,0.156618573
