,Country,ISO,variable,value.GGExp,value.GGRev,value.GGExpCh,value.GGRevCh
1523,Colombia,COL,X2007,120816.16,117164.066,0.11297731,0.118568799
1524,"Congo, Republic of",COG,X2007,1201.487,1579.249,0.069839981,-0.120685412
1525,Dem. Rep. of Congo,COD,X2007,898,881.2,NA,0.116823911
1526,Ecuador,ECU,X2007,12.554,13.451,0.264504432,0.194264406
1527,Equatorial Guinea,GNQ,X2007,1233.481,2308.526,0.292620996,0.097348994
1528,Gabon,GAB,X2007,1155.853,1636.499,0.030040735,0.034075543
1529,Ghana,GHA,X2007,5.299,4.052,0.30132613,0.269423559
1530,Guinea,GIN,X2007,2287.2,2620.29,-0.203457535,0.092812011
1531,Guyana,GUY,X2007,114.641,99.586,0.040157873,0.147396679
1532,Indonesia,IDN,X2007,804822.771,764121.451,0.198171918,0.115119281
1533,Iran,IRN,X2007,617566.698,828611.023,0.093297397,0.355115298
1534,Iraq,IRQ,X2007,51406.137,60137.179,0.068548627,0.030688413
1535,Kazakhstan,KAZ,X2007,3045.952,3705.752,0.506256552,0.321633986
1536,Kuwait,KWT,X2007,9.809,21.989,0.042955875,0.169378856
1537,Libya,LBY,X2007,28.727,53.091,0.277152892,0.167938931
1538,Malaysia,MYS,X2007,180.421,162.504,0.128583492,0.131635574
1539,Mali,MLI,X2007,838.95,730.254,0.05355757,-0.59400267
1540,Mauritania,MRT,X2007,220.941,205.41,0.104782335,-0.072908956
1541,Mexico,MEX,X2007,2657.724,2525.809,0.10351259,0.095405973
1542,Mongolia,MNG,X2007,1749.701,1880.489,0.658603843,0.382295778
1543,Myanmar,MMR,X2007,4177.072,3301.006,0.310538658,0.328426094
1544,Namibia,NAM,X2007,15.926,19.728,0.114875744,0.237796461
1545,Nigeria,NGA,X2007,5966.347,5615.145,0.681272068,-0.07046535
1546,Norway,NOR,X2007,927.514,1326.63,0.064370797,0.043847529
1547,Oman,OMN,X2007,5.706,7.654,0.159756098,0.105749783
1548,Papua New Guinea,PNG,X2007,5.325,7.008,0.027199074,0.114503817
1549,Peru,PER,X2007,59.441,70.145,0.083424468,0.15611557
1550,Qatar,QAT,X2007,86.249,119.827,0.284480319,0.371598961
1551,Russia,RUS,X2007,11378.578,13368.262,0.358599193,0.258093217
1552,Saudi Arabia,SAU,X2007,492.077,726.487,0.189355963,-0.041232365
1553,Sierra Leone,SLE,X2007,834.713,2129.282,-0.101358546,1.52825596
1554,Sudan,SDN,X2007,23.468,20.242,0.268403416,0.159933528
1555,Suriname,SUR,X2007,1.714,1.891,0.186980609,0.244078947
1556,Syrian Arab Republic,SYR,X2007,519.435,459.069,0.142524382,0.054618258
1557,Tanzania,TZA,X2007,4846.196,4453.943,0.163809253,0.323959969
1558,Timor Leste,TLS,X2007,0.251,1.362,1.182608696,1.008849558
1559,Trinidad and Tobago ,TTO,X2007,38.963,43.768,0.081314351,0.02051856
1560,Turkmenistan,TKM,X2007,3.629,4.684,0.091100421,0.042046719
1561,United Arab Emirates,ARE,X2007,167.224,373.722,0.311818004,0.119551607
1562,Uzbekistan,UZB,X2007,8571.106,10030.299,0.422553847,0.404821883
1563,Venezuela,VEN,X2007,177.803,163.878,0.149481837,0.104596926
1564,Vietnam,VNM,X2007,350479.079,325437.9,0.266300588,0.16447408
1565,Yemen,YEM,X2007,1738.512,1429.017,0.237306399,-0.01425281
1566,Zambia,ZMB,X2007,11.209,10.626,0.238426693,-0.368439822
1729,Algeria,DZA,X2008,4190.663,5190.617,0.345644622,0.407491357
1730,Angola,AGO,X2008,3498.789,3217.433,0.83293798,0.514291349
1731,Azerbaijan,AZE,X2008,11.829,19.426,0.608075041,1.426127139
1732,Bahrain,BHR,X2008,2.286,2.698,0.198113208,0.323846909
1733,Bolivia,BOL,X2008,42.645,46.953,0.267875725,0.325307666
1734,Botswana,BWA,X2008,35.15,29.556,0.416082507,0.031803107
1735,Brunei Darussalam,BRN,X2008,6.146,14.306,0.024674892,1.157117008
1736,Cameroon,CMR,X2008,1980.992,2214.088,0.296186735,0.115138231
1737,Chad,TCD,X2008,874.409,1042.561,0.232786076,0.280378503
1738,Chile,CHL,X2008,20364.623,24241.035,0.163078438,-0.017701806
1739,Colombia,COL,X2008,127887.564,126673.508,0.058530283,0.081163469
1740,"Congo, Republic of",COG,X2008,1255.619,2497.256,0.04505417,0.581293387
1741,Dem. Rep. of Congo,COD,X2008,1358.8,1238.9,NA,0.405948594
1742,Ecuador,ECU,X2008,21.762,22.062,0.733471404,0.640175452
1743,Equatorial Guinea,GNQ,X2008,1759.331,3051.786,0.426313822,0.321963019
1744,Gabon,GAB,X2008,1314.592,2078.129,0.137334938,0.269862676
1745,Ghana,GHA,X2008,7.361,4.813,0.389130025,0.18780849
1746,Guinea,GIN,X2008,3231.882,3351.789,0.413029906,0.279167191
1747,Guyana,GUY,X2008,120.815,105.437,0.053855078,0.058753238
1748,Indonesia,IDN,X2008,1050154.508,1053084.642,0.304827033,0.378163956
1749,Iran,IRN,X2008,828825.507,851710.199,0.342082579,0.027876984
1750,Iraq,IRQ,X2008,89904.108,88560.647,0.748898347,0.472643853
1751,Kazakhstan,KAZ,X2008,4345.252,4542.243,0.426566144,0.225727734
1752,Kuwait,KWT,X2008,16.009,23.994,0.632072586,0.091181955
1753,Libya,LBY,X2008,43.534,72.897,0.515438438,0.37305758
1754,Malaysia,MYS,X2008,217.105,189.645,0.203324447,0.167017427
1755,Mali,MLI,X2008,828.24,741.5,-0.012765957,0.015400121
1756,Mauritania,MRT,X2008,245.739,204.551,0.112238109,-0.00418188
1757,Mexico,MEX,X2008,3178.805,3059.643,0.196062872,0.21135169
1758,Mongolia,MNG,X2008,2466.774,2170.37,0.409826022,0.154151925
1759,Myanmar,MMR,X2008,4451.548,3677.36,0.065710143,0.11401191
1760,Namibia,NAM,X2008,19.67,22.753,0.235087279,0.153335361
1761,Nigeria,NGA,X2008,5628.537,7861.634,-0.056619235,0.400076757
1762,Norway,NOR,X2008,1014.692,1495.59,0.093991034,0.127360304
1763,Oman,OMN,X2008,6.867,10.801,0.203470032,0.411157565
1764,Papua New Guinea,PNG,X2008,6.498,7.041,0.22028169,0.004708904
1765,Peru,PER,X2008,69.594,79.138,0.170808028,0.128205859
1766,Qatar,QAT,X2008,99.958,143.736,0.15894677,0.199529321
1767,Russia,RUS,X2008,14157.027,16169.099,0.244182445,0.209513922
1768,Saudi Arabia,SAU,X2008,564.657,1179.701,0.147497241,0.623843235
1769,Sierra Leone,SLE,X2008,1207.332,948.41,0.446403734,-0.554586945
1770,Sudan,SDN,X2008,26.733,27.378,0.139125618,0.352534335
1771,Suriname,SUR,X2008,2.156,2.311,0.257876313,0.222104707
1772,Syrian Arab Republic,SYR,X2008,561.327,491.205,0.080649167,0.070002549
1773,Tanzania,TZA,X2008,6062.281,5424.305,0.250935992,0.217865833
1774,Timor Leste,TLS,X2008,0.57,2.561,1.270916335,0.880323054
1775,Trinidad and Tobago ,TTO,X2008,51.083,64.388,0.311064343,0.471120453
1776,Turkmenistan,TKM,X2008,5.375,10.323,0.481124277,1.203885568
1777,United Arab Emirates,ARE,X2008,254.308,486.951,0.52076257,0.302976544
1778,Uzbekistan,UZB,X2008,11517.762,15357.337,0.343789471,0.531094636
1779,Venezuela,VEN,X2008,236.341,212.889,0.329229541,0.29907004
1780,Vietnam,VNM,X2008,437416,429523,0.24805167,0.319830911
1781,Yemen,YEM,X2008,2217.365,1973.749,0.275438421,0.381193506
1782,Zambia,ZMB,X2008,13.054,12.606,0.164599875,0.186335404
1945,Algeria,DZA,X2009,4220.957,3676.062,0.007228928,-0.291787084
1946,Angola,AGO,X2009,2510.197,2069.733,-0.28255262,-0.356712945
1947,Azerbaijan,AZE,X2009,12.028,14.368,0.016823062,-0.260372696
1948,Bahrain,BHR,X2009,2.211,1.729,-0.032808399,-0.35915493
1949,Bolivia,BOL,X2009,43.602,43.619,0.022441083,-0.071007177
1950,Botswana,BWA,X2009,39.49,29.024,0.123470839,-0.017999729
1951,Brunei Darussalam,BRN,X2009,6.038,6.636,-0.017572405,-0.536138683
1952,Cameroon,CMR,X2009,1931.276,1925.928,-0.025096517,-0.130148395
1953,Chad,TCD,X2009,1057.776,655.001,0.209703926,-0.37173844
1954,Chile,CHL,X2009,23797.395,19858.865,0.168565458,-0.180774872
1955,Colombia,COL,X2009,148980.258,134879.209,0.164931549,0.064778351
1956,"Congo, Republic of",COG,X2009,1117.279,1334.761,-0.110176734,-0.465508943
1957,Dem. Rep. of Congo,COD,X2009,2055.6,2240.5,NA,0.808485444
1958,Ecuador,ECU,X2009,20.61,18.378,-0.052936311,-0.166983954
1959,Equatorial Guinea,GNQ,X2009,2827.522,2368.087,0.607157493,-0.224032419
1960,Gabon,GAB,X2009,1296.716,1685.163,-0.013598135,-0.189096057
1961,Ghana,GHA,X2009,8.582,6.017,0.165874202,0.250155828
1962,Guinea,GIN,X2009,5240.25,3662.49,0.621423678,0.092697064
1963,Guyana,GUY,X2009,134.188,118.887,0.110689898,0.127564328
1964,Indonesia,IDN,X2009,1023520.332,924686.395,-0.02536215,-0.121925857
1965,Iran,IRN,X2009,810201.928,842755.227,-0.022469843,-0.010514107
1966,Iraq,IRQ,X2009,76920.414,60330.969,-0.144417138,-0.318760973
1967,Kazakhstan,KAZ,X2009,3991.72,3765.851,-0.081360529,-0.170927007
1968,Kuwait,KWT,X2009,12.868,21.161,-0.196202136,-0.118071184
1969,Libya,LBY,X2009,45.947,41.786,0.055427941,-0.426780252
1970,Malaysia,MYS,X2009,230.643,182.64,0.062356924,-0.036937436
1971,Mali,MLI,X2009,1097.792,918.936,0.32545156,0.239293324
1972,Mauritania,MRT,X2009,227.982,198.434,-0.072259592,-0.029904523
1973,Mexico,MEX,X2009,3283.374,2668.803,0.032895695,-0.127740393
1974,Mongolia,MNG,X2009,2336.63,1993.996,-0.052758785,-0.081264485
1975,Myanmar,MMR,X2009,5462.956,3740.035,0.22720366,0.017043477
1976,Namibia,NAM,X2009,23.976,23.874,0.218912049,0.049268228
1977,Nigeria,NGA,X2009,6848.463,4474.352,0.216739448,-0.430862337
1978,Norway,NOR,X2009,1094.505,1345.376,0.078657366,-0.100437954
1979,Oman,OMN,X2009,7.116,7.058,0.036260376,-0.346541987
1980,Papua New Guinea,PNG,X2009,8.238,6.097,0.2677747,-0.134071865
1981,Peru,PER,X2009,78.171,72.146,0.123243383,-0.088351993
1982,Qatar,QAT,X2009,122.626,181.597,0.226775246,0.263406523
1983,Russia,RUS,X2009,16048.336,13599.718,0.133595069,-0.158906875
1984,Saudi Arabia,SAU,X2009,644.444,578.569,0.141301711,-0.509563016
1985,Sierra Leone,SLE,X2009,1451.956,1257.997,0.202615354,0.326427389
1986,Sudan,SDN,X2009,25.198,18.986,-0.057419669,-0.306523486
1987,Suriname,SUR,X2009,2.945,2.693,0.365955473,0.165296408
1988,Syrian Arab Republic,SYR,X2009,674.079,601.185,0.200866874,0.223898372
1989,Tanzania,TZA,X2009,7609.59,5918.763,0.255235447,0.09115601
1990,Timor Leste,TLS,X2009,0.604,1.763,0.059649123,-0.311597032
1991,Trinidad and Tobago ,TTO,X2009,53.737,41.517,0.051954662,-0.355205939
1992,Turkmenistan,TKM,X2009,7.723,11.768,0.436837209,0.139978688
1993,United Arab Emirates,ARE,X2009,325.875,286.053,0.281418595,-0.412563071
1994,Uzbekistan,UZB,X2009,16646.77,18009.672,0.4453129,0.172708003
1995,Venezuela,VEN,X2009,235.303,173.87,-0.004391959,-0.183283307
1996,Vietnam,VNM,X2009,571807.09,462877.9,0.307238624,0.077655679
1997,Yemen,YEM,X2009,1795.112,1274.598,-0.190430083,-0.354224879
1998,Zambia,ZMB,X2009,13.773,12.182,0.055078903,-0.033634777
2161,Algeria,DZA,X2010,4439.854,4393.344,0.051859566,0.195122389
2162,Angola,AGO,X2010,3034.026,3295.49,0.208680434,0.592229529
2163,Azerbaijan,AZE,X2010,13.45,19.386,0.118224144,0.34924833
2164,Bahrain,BHR,X2010,2.76,2.196,0.248303935,0.270098323
2165,Bolivia,BOL,X2010,43.43,45.727,-0.003944773,0.048327564
2166,Botswana,BWA,X2010,38.417,31.217,-0.027171436,0.075558159
2167,Brunei Darussalam,BRN,X2010,6.762,8.18,0.119907254,0.232670283
2168,Cameroon,CMR,X2010,2066.942,1940.041,0.070246821,0.007327896
2169,Chad,TCD,X2010,1288.501,1068.841,0.218122741,0.631815829
2170,Chile,CHL,X2010,26499.255,26093.452,0.113535956,0.31394478
2171,Colombia,COL,X2010,160177.848,142207.045,0.075161569,0.054328877
2172,"Congo, Republic of",COG,X2010,1274.933,2231.2,0.14110531,0.671610123
2173,Dem. Rep. of Congo,COD,X2010,3319,3776.3,NA,0.68545955
2174,Ecuador,ECU,X2010,24.123,23.186,0.170451237,0.261617151
2175,Equatorial Guinea,GNQ,X2010,2516.853,2150.931,-0.109873239,-0.091701023
2176,Gabon,GAB,X2010,1642.091,1834.003,0.266345908,0.0883238
2177,Ghana,GHA,X2010,12.008,7.694,0.399207644,0.278710321
2178,Guinea,GIN,X2010,8049.1,4257.69,0.536014503,0.162512389
2179,Guyana,GUY,X2010,140.686,127.571,0.048424598,0.073044151
2180,Indonesia,IDN,X2010,1159098.284,1073832.299,0.132462393,0.161293499
2181,Iran,IRN,X2010,917548.274,1049659.46,0.132493323,0.245509285
2182,Iraq,IRQ,X2010,80344.082,73571.55,0.044509225,0.219465744
2183,Kazakhstan,KAZ,X2010,4902.693,5223.314,0.228215656,0.387020889
2184,Kuwait,KWT,X2010,14.806,23.385,0.150606155,0.105099003
2185,Libya,LBY,X2010,50.552,61.504,0.100224171,0.471880534
2186,Malaysia,MYS,X2010,221.643,184.46,-0.039021345,0.009964958
2187,Mali,MLI,X2010,1071.602,935.807,-0.023856978,0.018359276
2188,Mauritania,MRT,X2010,269.005,262.003,0.179939644,0.320353367
2189,Mexico,MEX,X2010,3569.368,3002.406,0.087103693,0.125000984
2190,Mongolia,MNG,X2010,3080.685,3122.192,0.318430817,0.565796521
2191,Myanmar,MMR,X2010,6721.967,4551.171,0.230463324,0.216879254
2192,Namibia,NAM,X2010,27.367,23.538,0.1414331,-0.014073888
2193,Nigeria,NGA,X2010,9236.157,6889.637,0.348646696,0.539806658
2194,Norway,NOR,X2010,1142.23,1424.775,0.043604186,0.059016216
2195,Oman,OMN,X2010,7.643,8.879,0.07405846,0.258005101
2196,Papua New Guinea,PNG,X2010,7.441,8.261,-0.096746783,0.354928653
2197,Peru,PER,X2010,87.596,87.632,0.120569009,0.214648075
2198,Qatar,QAT,X2010,143.795,173.867,0.1726306,-0.042566782
2199,Russia,RUS,X2010,17616.656,16031.93,0.097724773,0.178842826
2200,Saudi Arabia,SAU,X2010,719.518,822.077,0.116494218,0.420879791
2201,Sierra Leone,SLE,X2010,2073.764,1560.742,0.428255402,0.240656377
2202,Sudan,SDN,X2010,28.815,29.245,0.143543138,0.540345518
2203,Suriname,SUR,X2010,3.092,2.725,0.04991511,0.011882659
2204,Syrian Arab Republic,SYR,X2010,799.504,582.024,0.186068695,-0.031872053
2205,Tanzania,TZA,X2010,8875.604,6785.442,0.166370856,0.146429076
2206,Timor Leste,TLS,X2010,0.76,2.422,0.258278146,0.373794668
2207,Trinidad and Tobago ,TTO,X2010,49.491,44.537,-0.079014459,0.072741287
2208,Turkmenistan,TKM,X2010,8.878,10.17,0.149553282,-0.135791978
2209,United Arab Emirates,ARE,X2010,343.013,364.131,0.052590717,0.272949418
2210,Uzbekistan,UZB,X2010,19815.533,22865.398,0.190353023,0.269617681
2211,Venezuela,VEN,X2010,321.105,215.722,0.364644735,0.240708575
2212,Vietnam,VNM,X2010,647711,588234,0.132743912,0.270818935
2213,Yemen,YEM,X2010,2049.855,1774.415,0.141909251,0.392136972
2214,Zambia,ZMB,X2010,17.563,15.198,0.275176069,0.247578394
2377,Algeria,DZA,X2011,5853.482,5790.129,0.318395154,0.317932081
2378,Angola,AGO,X2011,3927.547,4776.149,0.294500113,0.449298587
2379,Azerbaijan,AZE,X2011,17.368,23.292,0.291301115,0.201485608
2380,Bahrain,BHR,X2011,3.003,2.843,0.088043478,0.294626594
2381,Bolivia,BOL,X2011,58.773,60.155,0.353281142,0.315524745
2382,Botswana,BWA,X2011,38.668,38.512,0.006533566,0.233686773
2383,Brunei Darussalam,BRN,X2011,6.922,12.819,0.023661639,0.567114914
2384,Cameroon,CMR,X2011,2576.093,2250.155,0.24633057,0.159849199
2385,Chad,TCD,X2011,1284.476,1421.762,-0.003123785,0.330190365
2386,Chile,CHL,X2011,28195.513,29901.252,0.064011535,0.145929331
2387,Colombia,COL,X2011,178027.123,165690.182,0.111434104,0.165133429
2388,"Congo, Republic of",COG,X2011,1774.4,2894,0.39175941,0.297059878
2389,Dem. Rep. of Congo,COD,X2011,3543.6,3438.9,NA,-0.089352044
2390,Ecuador,ECU,X2011,31.195,31.19,0.2931642,0.345208315
2391,Equatorial Guinea,GNQ,X2011,2767.018,2849.028,0.099395952,0.324555739
2392,Gabon,GAB,X2011,2275.218,2486.186,0.385561458,0.355606289
2393,Ghana,GHA,X2011,15.826,11.441,0.317954697,0.487002859
2394,Guinea,GIN,X2011,7246.9,6824.141,-0.099663316,0.602780146
2395,Guyana,GUY,X2011,159.65,143.325,0.134796639,0.123492016
2396,Indonesia,IDN,X2011,1382960.413,1336271.877,0.193134726,0.24439531
2397,Iran,IRN,X2011,1189794.916,1203714.331,0.296710974,0.146766525
2398,Iraq,IRQ,X2011,94252.996,104563.988,0.173116845,0.421255744
2399,Kazakhstan,KAZ,X2011,5997.106,7638.32,0.223226908,0.462351297
2400,Kuwait,KWT,X2011,16.619,31.026,0.122450358,0.326747915
2401,Libya,LBY,X2011,23.366,16.614,-0.537782877,-0.729871228
2402,Malaysia,MYS,X2011,250.477,217.488,0.130092085,0.179052369
2403,Mali,MLI,X2011,1258.365,1049.597,0.174283923,0.121595585
2404,Mauritania,MRT,X2011,323.972,324.064,0.204334492,0.236871334
2405,Mexico,MEX,X2011,3922.73,3437.057,0.098998478,0.144767563
2406,Mongolia,MNG,X2011,4997.04,4468.27,0.622054835,0.431132358
2407,Myanmar,MMR,X2011,7207.807,5200.601,0.072276463,0.142695144
2408,Namibia,NAM,X2011,34.574,28.282,0.263346366,0.201546436
2409,Nigeria,NGA,X2011,11039.277,11296.005,0.195224053,0.63956461
2410,Norway,NOR,X2011,1200.82,1569.13,0.051294398,0.101317752
2411,Oman,OMN,X2011,10.279,12.734,0.34489075,0.434170515
2412,Papua New Guinea,PNG,X2011,8.764,9.28,0.177798683,0.123350684
2413,Peru,PER,X2011,93.158,103.664,0.06349605,0.182946869
2414,Qatar,QAT,X2011,181.372,246.147,0.261323412,0.415720062
2415,Russia,RUS,X2011,19994.645,20855.368,0.134985266,0.300864462
2416,Saudi Arabia,SAU,X2011,891.82,1193.379,0.239468644,0.451663287
2417,Sierra Leone,SLE,X2011,2751.942,2170.759,0.327027569,0.390850634
2418,Sudan,SDN,X2011,31.979,32.357,0.109803922,0.106411352
2419,Suriname,SUR,X2011,3.779,3.853,0.222186287,0.413944954
2420,Syrian Arab Republic,SYR,X2011,,,,
2421,Tanzania,TZA,X2011,10101.968,8221.254,0.138172456,0.211601838
2422,Timor Leste,TLS,X2011,1.105,3.568,0.453947368,0.473162675
2423,Trinidad and Tobago ,TTO,X2011,51.625,51.527,0.043118951,0.156948155
2424,Turkmenistan,TKM,X2011,12.18,15.218,0.371930615,0.496361849
2425,United Arab Emirates,ARE,X2011,401.43,482.329,0.170305499,0.324602959
2426,Uzbekistan,UZB,X2011,24414.196,31294.161,0.232073646,0.368625248
2427,Venezuela,VEN,X2011,535.834,378.475,0.668718955,0.754457125
2428,Vietnam,VNM,X2011,748897,719403,0.156220907,0.222987791
2429,Yemen,YEM,X2011,2087.875,1772.542,0.018547653,-0.001055559
2430,Zambia,ZMB,X2011,22.267,20.233,0.267835791,0.331293591
2593,Algeria,DZA,X2012,7058.173,6395.462,0.205807586,0.104545685
2594,Angola,AGO,X2012,4548.766,5053.803,0.158169718,0.058133446
2595,Azerbaijan,AZE,X2012,19.782,21.832,0.138991248,-0.062682466
2596,Bahrain,BHR,X2012,3.418,3.053,0.138195138,0.073865635
2597,Bolivia,BOL,X2012,67.447,70.729,0.147584775,0.175779237
2598,Botswana,BWA,X2012,40.736,41.649,0.053480914,0.081455131
2599,Brunei Darussalam,BRN,X2012,7.377,10.948,0.065732447,-0.145955223
2600,Cameroon,CMR,X2012,2640.734,2425.814,0.02509265,0.078065289
2601,Chad,TCD,X2012,1512.111,1542.084,0.177220127,0.084628792
2602,Chile,CHL,X2012,30614.297,31499.815,0.085786132,0.053461407
2603,Colombia,COL,X2012,187773.255,188311.73,0.054745209,0.1365292
2604,"Congo, Republic of",COG,X2012,2525.9,2975.8,0.423523445,0.028265377
2605,Dem. Rep. of Congo,COD,X2012,3910.3,4369.1,NA,0.270488898
2606,Ecuador,ECU,X2012,35.394,34.57,0.134604905,0.108368067
2607,Equatorial Guinea,GNQ,X2012,4023.498,3194.71,0.454091733,0.121333311
2608,Gabon,GAB,X2012,2497.824,2638.092,0.097839416,0.061100014
2609,Ghana,GHA,X2012,23.11,13.935,0.460255276,0.217987938
2610,Guinea,GIN,X2012,10342.15,9046.635,0.427113662,0.325681137
2611,Guyana,GUY,X2012,181.379,153.685,0.136103977,0.072283272
2612,Indonesia,IDN,X2012,1622837.246,1486152.643,0.173451699,0.112163377
2613,Iran,IRN,X2012,1039256,1015802.928,-0.126525096,-0.156109633
2614,Iraq,IRQ,X2012,109041.145,119449.324,0.15689845,0.142356238
2615,Kazakhstan,KAZ,X2012,6796.054,8170.301,0.133222258,0.069646336
2616,Kuwait,KWT,X2012,18.469,35.8,0.111318371,0.153870947
2617,Libya,LBY,X2012,45.978,74.714,0.967730891,3.49705068
2618,Malaysia,MYS,X2012,279.7,243.227,0.116669395,0.118346759
2619,Mali,MLI,X2012,986.591,925.843,-0.215973903,-0.117906206
2620,Mauritania,MRT,X2012,429.956,465.611,0.327139382,0.436787178
2621,Mexico,MEX,X2012,4300.1,3723.781,0.09620086,0.083421369
2622,Mongolia,MNG,X2012,6492.904,4975.892,0.299350015,0.113605937
2623,Myanmar,MMR,X2012,11954.915,11152.386,0.658606425,1.144441767
2624,Namibia,NAM,X2012,37.448,35.954,0.083126048,0.271267944
2625,Nigeria,NGA,X2012,10226.048,10416.044,-0.073666871,-0.077900196
2626,Norway,NOR,X2012,1252.47,1654.07,0.043012275,0.054131907
2627,Oman,OMN,X2012,12.983,14.352,0.263060609,0.12706141
2628,Papua New Guinea,PNG,X2012,10.383,9.358,0.184732999,0.008405172
2629,Peru,PER,X2012,103.306,112.904,0.10893321,0.089134126
2630,Qatar,QAT,X2012,217.036,317.076,0.196634541,0.288157077
2631,Russia,RUS,X2012,23174.718,23435.105,0.159046235,0.123696547
2632,Saudi Arabia,SAU,X2012,977.562,1383.135,0.096142719,0.159007323
2633,Sierra Leone,SLE,X2012,3357.859,2506.07,0.220177969,0.15446717
2634,Sudan,SDN,X2012,29.741,22.266,-0.069983427,-0.311864512
2635,Suriname,SUR,X2012,4.763,4.13,0.260386346,0.071892032
2636,Syrian Arab Republic,SYR,X2012,,,,
2637,Tanzania,TZA,X2012,12153.773,9623.533,0.203109434,0.170567531
2638,Timor Leste,TLS,X2012,1.247,4.093,0.128506787,0.147141256
2639,Trinidad and Tobago ,TTO,X2012,53.255,52.84,0.03157385,0.025481786
2640,Turkmenistan,TKM,X2012,14.695,21.046,0.206486043,0.382967538
2641,United Arab Emirates,ARE,X2012,400.893,550.034,-0.001337718,0.140370992
2642,Uzbekistan,UZB,X2012,31938.09,40112.898,0.308177013,0.281801356
2643,Venezuela,VEN,X2012,654.39,384.821,0.22125509,0.01676729
2644,Vietnam,VNM,X2012,954229.408,733446,0.274179771,0.019520352
2645,Yemen,YEM,X2012,2747.697,2268.593,0.316025624,0.279852889
2646,Zambia,ZMB,X2012,28.685,24.541,0.288229218,0.212919488
2809,Algeria,DZA,X2013,6092.124,5957.546,-0.136869555,-0.068472927
2810,Angola,AGO,X2013,4888.694,4848.532,0.074729718,-0.040617135
2811,Azerbaijan,AZE,X2013,21.932,22.755,0.108684663,0.042277391
2812,Bahrain,BHR,X2013,3.527,2.993,0.031889994,-0.019652801
2813,Bolivia,BOL,X2013,81.418,82.795,0.207140421,0.170594806
2814,Botswana,BWA,X2013,41.73,48.643,0.024401021,0.167927201
2815,Brunei Darussalam,BRN,X2013,7.602,10.439,0.030500203,-0.04649251
2816,Cameroon,CMR,X2013,3199.758,2622.609,0.211692658,0.081125346
2817,Chad,TCD,X2013,1463.564,1331.033,-0.032105447,-0.136860897
2818,Chile,CHL,X2013,32498.617,31853.997,0.061550327,0.011243939
2819,Colombia,COL,X2013,206555.415,199864.479,0.100025746,0.061349067
2820,"Congo, Republic of",COG,X2013,2555.1,3122.7,0.011560236,0.049364877
2821,Dem. Rep. of Congo,COD,X2013,3681.2,4588.1,NA,0.050132259
2822,Ecuador,ECU,X2013,41.607,37.26,0.175538227,0.077813133
2823,Equatorial Guinea,GNQ,X2013,3276.879,2672.985,-0.18556465,-0.163309033
2824,Gabon,GAB,X2013,2468.031,2621.795,-0.011927582,-0.006177571
2825,Ghana,GHA,X2013,25.955,15.63,0.12310688,0.121636168
2826,Guinea,GIN,X2013,10785.42,8543.92,0.042860527,-0.055569281
2827,Guyana,GUY,X2013,183.257,157.221,0.01035401,0.023008101
2828,Indonesia,IDN,X2013,1822525.027,1632381.07,0.123048557,0.098393949
2829,Iran,IRN,X2013,1415137.6,1326784.6,0.361683358,0.306143705
2830,Iraq,IRQ,X2013,131242.204,115417.554,0.203602585,-0.033752975
2831,Kazakhstan,KAZ,X2013,7130.917,8911.319,0.049273152,0.090696536
2832,Kuwait,KWT,X2013,18.715,36.118,0.013319617,0.008882682
2833,Libya,LBY,X2013,58.133,54.762,0.264365566,-0.267044998
2834,Malaysia,MYS,X2013,289.058,245.434,0.033457276,0.009073828
2835,Mali,MLI,X2013,1307.25,1151.093,0.325017155,0.243291789
2836,Mauritania,MRT,X2013,436.742,422.663,0.01578301,-0.092240089
2837,Mexico,MEX,X2013,4522.788,3905.347,0.051786703,0.048758506
2838,Mongolia,MNG,X2013,7688.585,5983.606,0.18415196,0.202519267
2839,Myanmar,MMR,X2013,13800.719,12685.259,0.154397083,0.137447986
2840,Namibia,NAM,X2013,45.32,39.583,0.210211493,0.100934527
2841,Nigeria,NGA,X2013,10859.802,8949.41,0.061974479,-0.140805281
2842,Norway,NOR,X2013,1329.898,1668.627,0.061820243,0.008800716
2843,Oman,OMN,X2013,13.588,14.548,0.046599399,0.013656633
2844,Papua New Guinea,PNG,X2013,12.5,9.74,0.203890976,0.040820688
2845,Peru,PER,X2013,117.836,121.786,0.140650107,0.078668603
2846,Qatar,QAT,X2013,234.271,387.098,0.079410789,0.220836645
2847,Russia,RUS,X2013,25290.909,24442.686,0.091314639,0.042994516
2848,Saudi Arabia,SAU,X2013,1059.769,1303.798,0.084093899,-0.057360272
2849,Sierra Leone,SLE,X2013,3337.085,2827.586,-0.00618668,0.1282949
2850,Sudan,SDN,X2013,41.459,34.311,0.394001547,0.54095931
2851,Suriname,SUR,X2013,5.234,4.082,0.098887256,-0.011622276
2852,Syrian Arab Republic,SYR,X2013,,,,
2853,Tanzania,TZA,X2013,13750.59,10970.332,0.131384468,0.139948499
2854,Timor Leste,TLS,X2013,1.081,4.058,-0.133119487,-0.008551185
2855,Trinidad and Tobago ,TTO,X2013,60.714,57.264,0.140061966,0.083724451
2856,Turkmenistan,TKM,X2013,18.85,20.379,0.282749234,-0.031692483
2857,United Arab Emirates,ARE,X2013,434.489,581.339,0.08380291,0.056914663
