country,iso,year,General government total expenditure,General government revenue
Sierra Leone,SLE,2002,526.843,400.027
Sudan,SDN,2002,5.034,4.707
Suriname,SUR,2002,0.841,0.654
Syrian Arab Republic,SYR,2002,318.369,295.754
Tanzania,TZA,2002,1726.152,1633.982
Timor Leste,TLS,2002,0.061,0.034
Trinidad and Tobago ,TTO,2002,14.885,13.03
Turkmenistan,TKM,2002,1.633,1.649
United Arab Emirates,ARE,2002,86.035,92.822
Uzbekistan,UZB,2002,2784.878,2644.204
Venezuela,VEN,2002,33.419,31.821
Vietnam,VNM,2002,134334,121716
Yemen,YEM,2002,578.104,567.672
Zambia,ZMB,2002,5.086,4.256
Algeria,DZA,2003,1691.354,1947.437
Angola,AGO,2003,457.154,394.898
Azerbaijan,AZE,2003,2.038,1.912
Bahrain,BHR,2003,1.219,1.146
Bolivia,BOL,2003,19.803,14.928
Botswana,BWA,2003,16.276,16.191
Brunei Darussalam,BRN,2003,3.91,4.93
Cameroon,CMR,2003,1219.119,1271
Chad,TCD,2003,348.1,247.36
Chile,CHL,2003,11774.611,11554.822
Colombia,COL,2003,75813.234,68490.104
"Congo, Republic of",COG,2003,605.308,613.5
Dem. Rep. of Congo,COD,2003,361.8,179.1
Ecuador,ECU,2003,6.587,6.91
Equatorial Guinea,GNQ,2003,254.804,471.162
Gabon,GAB,2003,802.44,1095.188
Ghana,GHA,2003,1.975,1.65
Guinea,GIN,2003,1395.299,952.672
Guyana,GUY,2003,72.539,57.692
Indonesia,IDN,2003,398067.721,374485.402
Iran,IRN,2003,251732.394,266641.105
Iraq,IRQ,2003,,
Kazakhstan,KAZ,2003,984.892,1169.189
Kuwait,KWT,2003,5.281,7.749
Libya,LBY,2003,14.475,16.614
Malaysia,MYS,2003,128.022,107.055
Mali,MLI,2003,568.99,536.528
Mauritania,MRT,2003,,119.684
Mexico,MEX,2003,1690.459,1512.707
Mongolia,MNG,2003,615.753,553.888
Myanmar,MMR,2003,1245.703,836.168
Namibia,NAM,2003,11.697,9.933
Nigeria,NGA,2003,3086.757,2794.767
Norway,NOR,2003,762.748,878.984
Oman,OMN,2003,3.229,3.792
Papua New Guinea,PNG,2003,3.811,3.664
Peru,PER,2003,40.953,37.65
Qatar,QAT,2003,25.212,30.718
Russia,RUS,2003,4613.409,4804.48
Saudi Arabia,SAU,2003,288.911,333.007
Sierra Leone,SLE,2003,612.563,467.001
Sudan,SDN,2003,6.991,7.419
Suriname,SUR,2003,0.803,0.857
Syrian Arab Republic,SYR,2003,350.609,321.564
Tanzania,TZA,2003,2258.862,1997.897
Timor Leste,TLS,2003,0.07,0.043
Trinidad and Tobago ,TTO,2003,16.739,17.923
