Country,ISO,Variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peru,PER,GGExp,38.224,37.466,37.282,40.953,44.141,49.857,54.864,59.441,69.594,78.171,87.596,93.158,103.306,117.836,129.694,138.515
Qatar,QAT,GGExp,20.293,20.504,22.799,25.212,36.103,50.768,67.147,86.249,99.958,122.626,143.795,181.372,217.036,234.271,244.759,249.888
Russia,RUS,GGExp,2399.176,3015.076,3924.392,4613.409,5405.393,6820.645,8375.228,11378.578,14157.027,16048.336,17616.656,19994.645,23174.718,25290.909,27215.951,29034.52
Saudi Arabia,SAU,GGExp,251.513,271.859,274.893,288.911,338.895,375.388,413.734,492.077,564.657,644.444,719.518,891.82,977.562,1059.769,1206.245,1220.618
Sierra Leone,SLE,GGExp,317.597,413.71,526.843,612.563,708.971,860.246,928.861,834.713,1207.332,1451.956,2073.764,2751.942,3357.859,3337.085,3845.425,4278.374
Sudan,SDN,GGExp,3.499,4.011,5.034,6.991,11.347,16.927,18.502,23.468,26.733,25.198,28.815,31.979,29.741,41.459,53.804,63.464
Suriname,SUR,GGExp,0.486,0.627,0.841,0.803,1.127,1.331,1.444,1.714,2.156,2.945,3.092,3.779,4.763,5.234,4.815,4.787
Syrian Arab Republic,SYR,GGExp,259.197,282.736,318.369,350.609,396.904,424.456,454.638,519.435,561.327,674.079,799.504,#N/A,#N/A,#N/A,#N/A,#N/A
Tanzania,TZA,GGExp,1220.177,1367.8,1726.152,2258.862,2888.269,3550.653,4164.081,4846.196,6062.281,7609.59,8875.604,10101.968,12153.773,13750.59,15555.52,18124.007
Timor Leste,TLS,GGExp,0,0,0.061,0.07,0.07,0.094,0.115,0.251,0.57,0.604,0.76,1.105,1.247,1.081,1.303,1.361
Trinidad and Tobago ,TTO,GGExp,13.576,16.176,14.885,16.739,20.947,26.56,36.033,38.963,51.083,53.737,49.491,51.625,53.255,60.714,64.274,63.1
Turkmenistan,TKM,GGExp,1.259,1.521,1.633,2.299,2.788,3.513,3.326,3.629,5.375,7.723,8.878,12.18,14.695,18.85,21.099,23.452
United Arab Emirates,ARE,GGExp,82.407,95.72,86.035,91.561,96.131,104.431,127.475,167.224,254.308,325.875,343.013,401.43,400.893,434.489,447.376,449.311
Uzbekistan,UZB,GGExp,1272.667,1755.396,2784.878,3266.18,3870.941,4701.039,6025.154,8571.106,11517.762,16646.77,19815.533,24414.196,31938.09,39983.684,48982.742,58638.98
Venezuela,VEN,GGExp,22.537,28.373,33.419,43.188,67.877,101.961,154.681,177.803,236.341,235.303,321.105,535.834,654.39,837.948,1371.271,1976.426
Vietnam,VNM,GGExp,99751,117285,134334,172885.6,192373,239364,276774,350479.079,437416,571807.09,647711,748897,954229.408,1031607.451,1057735,1195415
Yemen,YEM,GGExp,493.826,506.761,578.104,763.054,875.742,1179.739,1405.078,1738.512,2217.365,1795.112,2049.855,2087.875,2747.697,2674.693,2580.6,2194.163
Zambia,ZMB,GGExp,2.398,4.134,5.086,6.337,6.919,8.35,9.051,11.209,13.054,13.773,17.563,22.267,28.685,36.313,40.622,43.741
Algeria,DZA,GGRev,1578.159,1479.104,1603.284,1947.437,2215.165,3082.674,3639.91,3687.85,5190.617,3676.062,4393.344,5790.129,6395.462,5957.546,5730.954,5069.8
Angola,AGO,GGRev,48.051,90.32,190.836,394.898,609.686,1085.844,1685.031,2124.712,3217.433,2069.733,3295.49,4776.149,5053.803,4848.532,4322.8,3057.791
Azerbaijan,AZE,GGRev,1.001,0.992,1.655,1.912,2.288,3.143,5.253,8.007,19.426,14.368,19.386,23.292,21.832,22.755,22.565,18.599
Bahrain,BHR,GGRev,1.082,0.982,1.027,1.146,1.301,1.671,1.841,2.038,2.698,1.729,2.196,2.843,3.053,2.993,3.113,2.808
Bolivia,BOL,GGRev,13.287,13.52,13.89,14.928,18.661,23.829,31.473,35.428,46.953,43.619,45.727,60.155,70.729,82.795,90.914,83.892
Botswana,BWA,GGRev,14.119,12.709,14.321,16.191,17.958,23.008,27.657,28.645,29.556,29.024,31.217,38.512,41.649,48.643,51.828,55.227
Brunei Darussalam,BRN,GGRev,5.084,4.232,4.268,4.93,6.151,7.964,9.644,6.632,14.306,6.636,8.18,12.819,10.948,10.439,10.035,4.802
Cameroon,CMR,GGRev,1209.65,1240.5,1323.875,1271,1285.921,1589.928,4448.106,1985.483,2214.088,1925.928,1940.041,2250.155,2425.814,2622.609,2743.582,2738.702
Chad,TCD,GGRev,135.43,155.48,197.34,247.36,273.778,402.537,628.676,814.26,1042.561,655.001,1068.841,1421.762,1542.084,1331.033,1230.108,989.144
Chile,CHL,GGRev,9377.651,10321.365,10697.283,11554.822,13843.659,17057.851,21459.883,24677.878,24241.035,19858.865,26093.452,29901.252,31499.815,31853.997,33603.898,36481.797
Colombia,COL,GGRev,48982.811,55644.643,60012.487,68490.104,77422.845,87424.868,104744.622,117164.066,126673.508,134879.209,142207.045,165690.182,188311.73,199864.479,217237.388,209527.974
"Congo, Republic of",COG,GGRev,609.388,631.827,575.414,613.5,745.8,1245.7,1796,1579.249,2497.256,1334.761,2231.2,2894,2975.8,3122.7,2863.6,2344.935
Dem. Rep. of Congo,ZAR,GGRev,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ecuador,ECU,GGRev,4.4,5.194,6.33,6.91,8.177,9.146,11.263,13.451,22.062,18.378,23.186,31.19,34.57,37.26,39.109,34.85
Equatorial Guinea,GNQ,GGRev,164.389,348,414.482,471.162,773.525,1410.189,2103.73,2308.526,3051.786,2368.087,2150.931,2849.028,3194.71,2672.985,2401.943,1789.195
