Country,ISO,Variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sudan,SDN,GGExpCh,,0.146327522,0.255048616,0.388756456,0.623086826,0.491759937,0.093046612,0.268403416,0.139125618,-0.057419669,0.143543138,0.109803922,-0.069983427,0.394001547,0.297764056,0.179540555
Suriname,SUR,GGExpCh,,0.290123457,0.341307815,-0.045184304,0.403486924,0.181011535,0.084898573,0.186980609,0.257876313,0.365955473,0.04991511,0.222186287,0.260386346,0.098887256,-0.080053496,-0.005815161
Syrian Arab Republic,SYR,GGExpCh,,0.090815094,0.126029229,0.101266141,0.132041676,0.06941729,0.071107488,0.142524382,0.080649167,0.200866874,0.186068695,#N/A,#N/A,#N/A,#N/A,#N/A
Tanzania,TZA,GGExpCh,,0.120984906,0.261991519,0.308611293,0.278638978,0.229335979,0.172764841,0.163809253,0.250935992,0.255235447,0.166370856,0.138172456,0.203109434,0.131384468,0.131262004,0.165117399
Timor Leste,TLS,GGExpCh,,#N/A,#N/A,0.147540984,0,0.342857143,0.223404255,1.182608696,1.270916335,0.059649123,0.258278146,0.453947368,0.128506787,-0.133119487,0.205365402,0.044512663
Trinidad and Tobago ,TTO,GGExpCh,,0.191514437,-0.079809594,0.124554921,0.251388972,0.267961999,0.356664157,0.081314351,0.311064343,0.051954662,-0.079014459,0.043118951,0.03157385,0.140061966,0.05863557,-0.018265551
Turkmenistan,TKM,GGExpCh,,0.208101668,0.073635766,0.407838334,0.212701174,0.260043042,-0.053230857,0.091100421,0.481124277,0.436837209,0.149553282,0.371930615,0.206486043,0.282749234,0.119310345,0.111521873
United Arab Emirates,ARE,GGExpCh,,0.16155181,-0.101180527,0.064229674,0.04991208,0.086340515,0.220662447,0.311818004,0.52076257,0.281418595,0.052590717,0.170305499,-0.001337718,0.08380291,0.029660129,0.004325221
Uzbekistan,UZB,GGExpCh,,0.379305034,0.586467099,0.17282696,0.185158503,0.214443465,0.28166433,0.422553847,0.343789471,0.4453129,0.190353023,0.232073646,0.308177013,0.251912184,0.225068255,0.197135514
Venezuela,VEN,GGExpCh,,0.258951946,0.177845134,0.292318741,0.571663425,0.502143583,0.517060445,0.149481837,0.329229541,-0.004391959,0.364644735,0.668718955,0.22125509,0.280502453,0.636463122,0.441309559
Vietnam,VNM,GGExpCh,,0.175777686,0.145363857,0.286983191,0.112718468,0.244270246,0.156289166,0.266300588,0.24805167,0.307238624,0.132743912,0.156220907,0.274179771,0.08108956,0.025327026,0.130164928
Yemen,YEM,GGExpCh,,0.026193437,0.140782341,0.319925135,0.147680243,0.347130776,0.191007503,0.237306399,0.275438421,-0.190430083,0.141909251,0.018547653,0.316025624,-0.02656916,-0.035178991,-0.149746958
Zambia,ZMB,GGExpCh,,0.723936614,0.230285438,0.245969328,0.091841565,0.206821795,0.083952096,0.238426693,0.164599875,0.055078903,0.275176069,0.267835791,0.288229218,0.265922956,0.118662738,0.076781055
Algeria,DZA,GGRevCh,,-0.062766172,0.083956233,0.214655046,0.137477105,0.391622746,0.180763843,0.013170655,0.407491357,-0.291787084,0.195122389,0.317932081,0.104545685,-0.068472927,-0.038034452,-0.115365435
Angola,AGO,GGRevCh,,0.879669518,1.112887511,1.069305582,0.543907541,0.780988902,0.551816836,0.260933478,0.514291349,-0.356712945,0.592229529,0.449298587,0.058133446,-0.040617135,-0.108431171,-0.292636486
Azerbaijan,AZE,GGRevCh,,-0.008991009,0.668346774,0.155287009,0.19665272,0.373688811,0.671333121,0.524271845,1.426127139,-0.260372696,0.34924833,0.201485608,-0.062682466,0.042277391,-0.008349813,-0.175758919
Bahrain,BHR,GGRevCh,,-0.092421442,0.045824847,0.11587147,0.135253054,0.284396618,0.101735488,0.107007061,0.323846909,-0.35915493,0.270098323,0.294626594,0.073865635,-0.019652801,0.040093552,-0.097976229
Bolivia,BOL,GGRevCh,,0.017535937,0.027366864,0.074730022,0.250066988,0.276941214,0.320785597,0.125663267,0.325307666,-0.071007177,0.048327564,0.315524745,0.175779237,0.170594806,0.098061477,-0.077237829
Botswana,BWA,GGRevCh,,-0.09986543,0.126839248,0.130577474,0.109134704,0.281211716,0.202060153,0.035723325,0.031803107,-0.017999729,0.075558159,0.233686773,0.081455131,0.167927201,0.065477047,0.065582311
Brunei Darussalam,BRN,GGRevCh,,-0.167584579,0.008506616,0.155107779,0.247667343,0.294748821,0.210949272,-0.31231854,1.157117008,-0.536138683,0.232670283,0.567114914,-0.145955223,-0.04649251,-0.038701025,-0.521474838
Cameroon,CMR,GGRevCh,,0.025503245,0.067210802,-0.039939571,0.011739575,0.236411879,1.797677631,-0.553634064,0.115138231,-0.130148395,0.007327896,0.159849199,0.078065289,0.081125346,0.046126967,-0.001778697
Chad,TCD,GGRevCh,,0.148046962,0.269230769,0.253471167,0.106799806,0.470304407,0.561784383,0.295198162,0.280378503,-0.37173844,0.631815829,0.330190365,0.084628792,-0.136860897,-0.075824566,-0.195888491
Chile,CHL,GGRevCh,,0.10063437,0.036421345,0.080164187,0.198085007,0.232177923,0.258064864,0.149953986,-0.017701806,-0.180774872,0.31394478,0.145929331,0.053461407,0.011243939,0.054935053,0.08564182
Colombia,COL,GGRevCh,,0.136003465,0.078495319,0.141264217,0.13042382,0.129186973,0.198110153,0.118568799,0.081163469,0.064778351,0.054328877,0.165133429,0.1365292,0.061349067,0.086923445,-0.035488431
"Congo, Republic of",COG,GGRevCh,,0.036822189,-0.089285516,0.066188866,0.215647922,0.67028694,0.441759653,-0.120685412,0.581293387,-0.465508943,0.671610123,0.297059878,0.028265377,0.049364877,-0.082973068,-0.181123411
Dem. Rep. of Congo,ZAR,GGRevCh,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ecuador,ECU,GGRevCh,,0.180454545,0.218713901,0.091627172,0.183357453,0.118503119,0.231467308,0.194264406,0.640175452,-0.166983954,0.261617151,0.345208315,0.108368067,0.077813133,0.049624262,-0.108900765
Equatorial Guinea,GNQ,GGRevCh,,1.116929965,0.19104023,0.136749002,0.641738935,0.823068421,0.491807127,0.097348994,0.321963019,-0.224032419,-0.091701023,0.324555739,0.121333311,-0.163309033,-0.101400494,-0.255105138
Gabon,GAB,GGRevCh,,-0.028128566,-0.071343609,0.004852743,0.042602731,0.256000371,0.103484342,0.034075543,0.269862676,-0.189096057,0.0883238,0.355606289,0.061100014,-0.006177571,-0.09613223,-0.203850945
Ghana,GHA,GGRevCh,,0.768089054,0.004197272,0.724137931,0.39030303,0.147776809,0.212305355,0.269423559,0.18780849,0.250155828,0.278710321,0.487002859,0.217987938,0.121636168,0.335508637,0.226789307
Guinea,GIN,GGRevCh,,0.206182273,0.010025224,0.086391596,0.078412087,0.588011365,0.469677839,0.092812011,0.279167191,0.092697064,0.162512389,0.602780146,0.325681137,-0.055569281,0.398788144,-0.018614301
Guyana,GUY,GGRevCh,,0.016991327,0.072317372,-0.05974771,0.183318311,0.094319447,0.161778682,0.147396679,0.058753238,0.127564328,0.073044151,0.123492016,0.072283272,0.023008101,0.163057098,0.070453961
Indonesia,IDN,GGRevCh,,0.564902083,0.019768951,0.155719964,0.171741829,0.228107894,0.271562516,0.115119281,0.378163956,-0.121925857,0.161293499,0.24439531,0.112163377,0.098393949,0.07295367,0.024846436
Iran,IRN,GGRevCh,,-0.094392418,0.583276403,0.262530578,0.322400142,0.430434896,0.212317501,0.355115298,0.027876984,-0.010514107,0.245509285,0.146766525,-0.156109633,0.306143705,0.147034897,0.074753646
Iraq,IRQ,GGRevCh,,#N/A,#N/A,#N/A,#N/A,0.657835641,0.179458721,0.030688413,0.472643853,-0.318760973,0.219465744,0.421255744,0.142356238,-0.033752975,-0.09558209,-0.205314611
Kazakhstan,KAZ,GGRevCh,,0.467617036,0.016686653,0.37906147,0.23258344,0.47921031,0.315328345,0.321633986,0.225727734,-0.170927007,0.387020889,0.462351297,0.069646336,0.090696536,0.057065963,-0.16593817
Kuwait,KWT,GGRevCh,,-0.02877789,-0.074141757,0.092485549,0.275261324,0.705322809,0.115831949,0.169378856,0.091181955,-0.118071184,0.105099003,0.326747915,0.153870947,0.008882682,-0.046043524,-0.316760993
Libya,LBY,GGRevCh,,-0.034740061,0.62843746,0.292918288,0.400746358,0.607640083,0.215005479,0.167938931,0.37305758,-0.426780252,0.471880534,-0.729871228,3.49705068,-0.267044998,-0.609309375,-0.398457584
Malaysia,MYS,GGRevCh,,0.205633914,0.055984198,0.106362969,0.086628369,0.062314642,0.162027222,0.131635574,0.167017427,-0.036937436,0.009964958,0.179052369,0.118346759,0.009073828,0.054507525,0.006769392
Mali,MLI,GGRevCh,,0.120837851,0.156618573,0.17481366,0.039945725,0.114067317,1.893585155,-0.59400267,0.015400121,0.239293324,0.018359276,0.121595585,-0.117906206,0.243291789,0.168601494,0.034739873
Mauritania,MRT,GGRevCh,,0.108709622,0.534811066,0.102356983,0.089652752,0.085957029,0.564452353,-0.072908956,-0.00418188,-0.029904523,0.320353367,0.236871334,0.436787178,-0.092240089,0.003179838,0.078027014
Mexico,MEX,GGRevCh,,0.063491762,0.091867169,0.12591475,0.135698453,0.124943902,0.193099559,0.095405973,0.21135169,-0.127740393,0.125000984,0.144767563,0.083421369,0.048758506,0.023900309,-0.004042578
Mongolia,MNG,GGRevCh,,0.222264909,0.110710386,0.161071504,0.287467864,0.1749302,0.623676088,0.382295778,0.154151925,-0.081264485,0.565796521,0.431132358,0.113605937,0.202519267,0.023064687,0.010555383
Myanmar,MMR,GGRevCh,,0.2167852,0.418106852,0.272189232,0.271197893,0.570686825,0.488375826,0.328426094,0.11401191,0.017043477,0.216879254,0.142695144,1.144441767,0.137447986,0.219603951,0.151643734
Namibia,NAM,GGRevCh,,0.101456554,0.150478796,-0.015755054,0.105305547,0.152472903,0.259622224,0.237796461,0.153335361,0.049268228,-0.014073888,0.201546436,0.271267944,0.100934527,0.230856681,0.116807947
Nigeria,NGA,GGRevCh,,0.131324458,0.044736739,0.190048998,0.476802896,0.295911148,0.129411028,-0.07046535,0.400076757,-0.430862337,0.539806658,0.63956461,-0.077900196,-0.140805281,-0.016342642,-0.063087396
Norway,NOR,GGRevCh,,0.033795925,-0.036807197,0.027980525,0.116147734,0.132566692,0.143790038,0.043847529,0.127360304,-0.100437954,0.059016216,0.101317752,0.054131907,0.008800716,0.014778617,0.004485359
Oman,OMN,GGRevCh,,-0.061136547,0.003729203,0.083738211,0.136867089,0.324982603,0.211834734,0.105749783,0.411157565,-0.346541987,0.258005101,0.434170515,0.12706141,0.013656633,-0.028526258,-0.294700347
Papua New Guinea,PNG,GGRevCh,,0.040795684,0.048590865,0.131912264,0.177674672,0.229895713,0.184850198,0.114503817,0.004708904,-0.134071865,0.354928653,0.123350684,0.008405172,0.040820688,0.284702259,0.044353872
Peru,PER,GGRevCh,,-0.025852824,0.029990182,0.087553078,0.110491368,0.166969624,0.24352852,0.15611557,0.128205859,-0.088351993,0.214648075,0.182946869,0.089134126,0.078668603,0.05936643,-0.007045638
Qatar,QAT,GGRevCh,,-0.088158686,0.294352889,0.042949784,0.814082948,0.195549574,0.311323587,0.371598961,0.199529321,0.263406523,-0.042566782,0.415720062,0.288157077,0.220836645,-0.085089564,-0.179356788
Russia,RUS,GGRevCh,,0.249521927,0.212231954,0.200387164,0.298789463,0.374940064,0.238492025,0.258093217,0.209513922,-0.158906875,0.178842826,0.300864462,0.123696547,0.042994516,0.078893662,-0.004568
Saudi Arabia,SAU,GGRevCh,,-0.004738582,-0.106970872,0.269057373,0.368782038,0.399371235,0.187938287,-0.041232365,0.623843235,-0.509563016,0.420879791,0.451663287,0.159007323,-0.057360272,-0.084638878,-0.267050206
Sierra Leone,SLE,GGRevCh,,0.175347721,0.321564495,0.167423699,0.319789465,0.245820915,0.096816708,1.52825596,-0.554586945,0.326427389,0.240656377,0.390850634,0.15446717,0.1282949,0.101777983,0.020308329
Sudan,SDN,GGRevCh,,0.133925835,0.272162162,0.576163161,0.546165251,0.336500741,0.138281912,0.159933528,0.352534335,-0.306523486,0.540345518,0.106411352,-0.311864512,0.54095931,0.440150389,0.125311153
Suriname,SUR,GGRevCh,,1.161073826,0.01552795,0.310397554,0.250875146,0.185634328,0.195908733,0.244078947,0.222104707,0.165296408,0.011882659,0.413944954,0.071892032,-0.011622276,-0.034786869,-0.050761421
Syrian Arab Republic,SYR,GGRevCh,,0.242400867,-0.033537353,0.087268473,0.069532037,0.041067332,0.215745419,0.054618258,0.070002549,0.223898372,-0.031872053,#N/A,#N/A,#N/A,#N/A,#N/A
Tanzania,TZA,GGRevCh,,0.151747522,0.235956909,0.222716652,0.238965773,0.177818598,0.153875599,0.323959969,0.217865833,0.09115601,0.146429076,0.211601838,0.170567531,0.139948499,0.137559374,0.151028767
Timor Leste,TLS,GGRevCh,,2.166666667,0.789473684,0.264705882,3.139534884,0.202247191,2.168224299,1.008849558,0.880323054,-0.311597032,0.373794668,0.473162675,0.147141256,-0.008551185,-0.400197141,-0.283073131
Trinidad and Tobago ,TTO,GGRevCh,,0.111937035,-0.146021759,0.375518035,0.248730681,0.35990349,0.409120778,0.02051856,0.471120453,-0.355205939,0.072741287,0.156948155,0.025481786,0.083724451,-0.004121263,-0.019043277
Turkmenistan,TKM,GGRevCh,,0.276785714,0.048315321,0.662219527,0.091207588,0.222668004,0.229149576,0.042046719,1.203885568,0.139978688,-0.135791978,0.496361849,0.382967538,-0.031692483,0.088816919,0.017756546
United Arab Emirates,ARE,GGRevCh,,-0.234770329,-0.242034264,0.190612139,0.299054427,0.662765994,0.39837882,0.119551607,0.302976544,-0.412563071,0.272949418,0.324602959,0.140370992,0.056914663,-0.078477446,-0.235771872
Uzbekistan,UZB,GGRevCh,,0.416692685,0.566523534,0.243680518,0.199523497,0.242181192,0.457119324,0.404821883,0.531094636,0.172708003,0.269617681,0.368625248,0.281801356,0.082860456,0.185139004,0.13991206
Venezuela,VEN,GGRevCh,,-0.068785706,0.310207107,0.364476289,0.684308713,0.564493853,0.296705794,0.104596926,0.29907004,-0.183283307,0.240708575,0.754457125,0.01676729,0.342507296,0.754833777,0.15963869
Vietnam,VNM,GGRevCh,,0.144783965,0.171607885,0.256671268,0.247991266,0.195921818,0.224206302,0.16447408,0.319830911,0.077655679,0.270818935,0.222987791,0.019520352,0.11931076,0.030231901,0.077446367
Yemen,YEM,GGRevCh,,-0.06048185,0.02637574,0.184298327,0.220545209,0.366484516,0.29286945,-0.01425281,0.381193506,-0.354224879,0.392136972,-0.001055559,0.279852889,-0.085032,0.058145966,-0.228227955
Zambia,ZMB,GGRevCh,,0.290743671,0.304321177,0.19924812,0.209443574,0.20962255,1.253247623,-0.368439822,0.186335404,-0.033634777,0.247578394,0.331293591,0.212919488,0.085326596,0.180626995,0.083349234
